url,name,date,country,region,number_of_players
/tournament/2A8EF051-3607-47A7-B9B2-F19D463F2CA3,One Up Melee 2.14.24,14 February 2024,,,
/tournament/08BEC1C3-A0BB-42A9-AF75-45B74EFDFDF0,Free Play Melee #55,12 February 2024,,,
/tournament/9F388178-3AB2-4B4E-A849-31DD81BBE836,ESG Melee Weekly #58,11 February 2024,,,
/tournament/C36D1A5A-CB98-4092-B659-7B66A660F2F5,Smashing Grounds 10th Anniversary Celebration - A Melee and Project+ Regional,10 February 2024,,,
/tournament/441AC6A6-ADCB-4900-8AAA-A12D8615140C,Pho Tai Melee: #37 - $50 Pot Bonus!,09 February 2024,,,
/tournament/16CE51A3-384C-4EB5-90D9-DE33AEB3347F,Prodigious Smash Reloaded #119,09 February 2024,,,
/tournament/3F9164EB-4983-47AD-AF9C-80F645082F09,HoG: Phoenix 5.15,08 February 2024,,,
/tournament/06FCE2EB-7D13-434E-94B7-650B29A73B83,Buffalo Wild Wednesdays v2.2.1,07 February 2024,,,
/tournament/66E9146B-9938-4DE7-8D57-B794AE561A56,One Up Melee 2.7.24,07 February 2024,,,
/tournament/B5E733E6-DE09-4735-B9C6-4771A29B5B50,New Game Plus Revival 5.12,06 February 2024,,,
/tournament/5F002DEA-ABC5-43B4-881C-EBB16CE9EDEA,Free Play Melee #54,05 February 2024,,,
/tournament/3929C615-B503-4BCE-AB7E-2E42B2FEE8AD,WAS Invitational of 2023,04 February 2024,,,
/tournament/F535631C-5ACA-40D4-B12F-361AA34E3CEB,ESG Melee Weekly #57,04 February 2024,,,
/tournament/AD13A440-7AB6-41C5-BA0F-14BF5EED0376,King of the Cobb #11,04 February 2024,,,
/tournament/F3AF2E8C-D0E3-4EE0-9974-648B2E8366D1,Pho Tai Melee: #36 - $50 Pot Bonus!,02 February 2024,,,
/tournament/41BBE9F6-D990-46D4-B431-023100B2E9B0,Prodigious Smash Reloaded #118,02 February 2024,,,
/tournament/8CC4FF2E-FFEE-4A82-AA7C-FBFE80AB7D78,HoG: Phoenix 5.14,01 February 2024,,,
/tournament/19584EE3-993A-4343-BFF0-E4EFE079FDDB,Buffalo Wild Wednesdays v2.1.5,31 January 2024,,,
/tournament/06EB5113-48D2-4DAC-921F-4931F617BE2C,One Up Melee 1.31.24,31 January 2024,,,
/tournament/3D23CFFE-F905-4858-9AD7-6F5BE722550D,New Game Plus Revival 5.11,30 January 2024,,,
/tournament/2D413704-1089-448B-B63F-1BF274354C6D,Free Play Melee #53,29 January 2024,,,
/tournament/90A58FA8-B38F-42C5-AAD2-6459A2383EA5,ESG Melee Weekly #56,28 January 2024,,,
/tournament/9DC31ADF-C28C-4828-BE96-C73613E3918D,Giga HoG 5.1,27 January 2024,,,
/tournament/3462DE62-E3EA-4306-9754-032BD6DB00BA,Pho Tai Melee: #35 - $50 Pot Bonus!,26 January 2024,,,
/tournament/DE22763A-375E-41E1-BBBE-198686E2FCA9,Prodigious Smash Monthly #10,26 January 2024,,,
/tournament/5E231145-863D-44DF-A12E-DE004FEC19B1,HoG: Phoenix 5.13,25 January 2024,,,
/tournament/88AB4378-8E21-40BE-8D84-41F4FAA16CF6,Buffalo Wild Wednesdays v2.1.4,24 January 2024,,,
/tournament/4BF7D2FF-23AE-4372-A797-2C14E250056D,One Up Melee 1.24.24,24 January 2024,,,
/tournament/38B085BA-7C0F-4E0B-853A-10437FBB873F,New Game Plus Revival 5.10,23 January 2024,,,
/tournament/6C530ED7-648D-44BF-A438-B61BDE84C036,Free Play Melee #52,21 January 2024,,,
/tournament/9378DFB3-1FAA-4342-A18E-E8E082225A7C,Vermont Melee Monthly January 2024,20 January 2024,,,
/tournament/61253519-F6BD-4F62-BDC0-ECB612DCE418,NCS: Another,20 January 2024,,,
