encounter_id,winner_url,winner,loser_url,loser,winner_score,loser_score,winner_rating,loser_rating,new_winner_rating,new_loser_rating
149,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/92BBDDE1-A0B2-4F31-83F0-704B6F28CAA1,HoG | Arty,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/92BBDDE1-A0B2-4F31-83F0-704B6F28CAA1,HoG | Arty,HoG | Arty,3,25.0,25.0,29.39583201999916,20.604167980000835
150,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/1F8BBA5A-DDAE-419B-AA90-3BF888811659,Gambit,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/1F8BBA5A-DDAE-419B-AA90-3BF888811659,Gambit,Gambit,3,25.0,25.0,29.39583201999916,20.604167980000835
151,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/5E7DE9BF-70A3-4564-8258-F717553F12A8,regEx,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/5E7DE9BF-70A3-4564-8258-F717553F12A8,regEx,regEx,3,25.0,25.0,29.39583201999916,20.604167980000835
145,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/6D876D0E-946D-4FF3-8E0B-7F8C856DA4F0,Ember,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/6D876D0E-946D-4FF3-8E0B-7F8C856DA4F0,Ember,Ember,3,25.0,25.0,29.39583201999916,20.604167980000835
180,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/0151C725-DC9A-4BD1-AC88-1A4AB86DE81E,Jio,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/0151C725-DC9A-4BD1-AC88-1A4AB86DE81E,Jio,Jio,3,25.0,25.0,29.39583201999916,20.604167980000835
179,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/F6F85C7F-7625-42D7-8590-980E832C70C6,HotPeppers,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/F6F85C7F-7625-42D7-8590-980E832C70C6,HotPeppers,HotPeppers,3,25.0,25.0,29.39583201999916,20.604167980000835
152,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A0E97F94-9634-44FA-AB18-3BA5CA6FB058,Miranda,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A0E97F94-9634-44FA-AB18-3BA5CA6FB058,Miranda,Miranda,3,25.0,25.0,29.39583201999916,20.604167980000835
178,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/0DD79C93-2102-4F00-AB02-D13388DED344,Pooky,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/0DD79C93-2102-4F00-AB02-D13388DED344,Pooky,Pooky,3,25.0,25.0,29.39583201999916,20.604167980000835
146,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A854A74E-D806-4B95-98CD-DB2510AC8AEB,Twisty,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A854A74E-D806-4B95-98CD-DB2510AC8AEB,Twisty,Twisty,3,25.0,25.0,29.39583201999916,20.604167980000835
176,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A6E8966D-43F7-44B4-9CF9-11A07847E2D4,HSG | RyuCloud,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/A6E8966D-43F7-44B4-9CF9-11A07847E2D4,HSG | RyuCloud,HSG | RyuCloud,3,25.0,25.0,29.39583201999916,20.604167980000835
177,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/021BC5A2-CA8C-4151-A0CC-623F64C0E8BC,TeaKay,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/021BC5A2-CA8C-4151-A0CC-623F64C0E8BC,TeaKay,TeaKay,3,25.0,25.0,29.39583201999916,20.604167980000835
181,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/551B06D1-38AA-4E07-9C1D-F7A45B475323,Eddy Connecticut,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/551B06D1-38AA-4E07-9C1D-F7A45B475323,Eddy Connecticut,Eddy Connecticut,3,25.0,25.0,29.39583201999916,20.604167980000835
155,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/92BBDDE1-A0B2-4F31-83F0-704B6F28CAA1,HoG | Arty,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/92BBDDE1-A0B2-4F31-83F0-704B6F28CAA1,HoG | Arty,HoG | Arty,3,25.0,25.0,29.39583201999916,20.604167980000835
184,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/021BC5A2-CA8C-4151-A0CC-623F64C0E8BC,TeaKay,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/021BC5A2-CA8C-4151-A0CC-623F64C0E8BC,TeaKay,TeaKay,3,25.0,25.0,29.39583201999916,20.604167980000835
182,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/488DEFB6-DD5E-4BA3-B865-82433E634088,hc | Newquake,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/488DEFB6-DD5E-4BA3-B865-82433E634088,hc | Newquake,hc | Newquake,3,25.0,25.0,29.39583201999916,20.604167980000835
175,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/88F1748E-E2A8-47F5-A92B-D97A32A305D8,zaubermaus,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/88F1748E-E2A8-47F5-A92B-D97A32A305D8,zaubermaus,zaubermaus,3,25.0,25.0,29.39583201999916,20.604167980000835
153,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/6D876D0E-946D-4FF3-8E0B-7F8C856DA4F0,Ember,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/6D876D0E-946D-4FF3-8E0B-7F8C856DA4F0,Ember,Ember,3,25.0,25.0,29.39583201999916,20.604167980000835
154,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/26D4A774-A067-467A-8E7A-C1DCD52E9F8A,Guex,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/26D4A774-A067-467A-8E7A-C1DCD52E9F8A,Guex,Guex,3,25.0,25.0,29.39583201999916,20.604167980000835
185,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/F6F85C7F-7625-42D7-8590-980E832C70C6,HotPeppers,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/F6F85C7F-7625-42D7-8590-980E832C70C6,HotPeppers,HotPeppers,3,25.0,25.0,29.39583201999916,20.604167980000835
186,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/551B06D1-38AA-4E07-9C1D-F7A45B475323,Eddy Connecticut,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/551B06D1-38AA-4E07-9C1D-F7A45B475323,Eddy Connecticut,Eddy Connecticut,3,25.0,25.0,29.39583201999916,20.604167980000835
156,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/5E7DE9BF-70A3-4564-8258-F717553F12A8,regEx,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/5E7DE9BF-70A3-4564-8258-F717553F12A8,regEx,regEx,3,25.0,25.0,29.39583201999916,20.604167980000835
